product_weight_g,product_length_cm,product_height_cm,product_width_cm,freight_value
650.0,28.0,9.0,14.0,13.29
30000.0,50.0,30.0,40.0,19.93
3050.0,33.0,13.0,33.0,17.87
200.0,16.0,10.0,15.0,12.79
3750.0,35.0,40.0,30.0,18.14
450.0,24.0,8.0,15.0,12.69
200.0,27.0,5.0,20.0,11.85
13805.0,35.0,75.0,45.0,70.75
2000.0,30.0,12.0,16.0,11.65
850.0,29.0,3.0,21.0,11.4
950.0,35.0,25.0,20.0,8.88
200.0,16.0,16.0,11.0,12.98
1383.0,50.0,10.0,40.0,23.32
1650.0,30.0,22.0,30.0,13.37
1050.0,40.0,20.0,30.0,27.65
200.0,16.0,5.0,12.0,11.34
468.0,23.0,18.0,19.0,8.77
1800.0,16.0,16.0,16.0,13.71
600.0,20.0,20.0,21.0,16.11
800.0,20.0,20.0,20.0,8.88
300.0,17.0,4.0,12.0,11.85
9375.0,55.0,54.0,19.0,44.4
250.0,16.0,2.0,20.0,15.1
1800.0,34.0,5.0,34.0,16.6
9800.0,105.0,15.0,28.0,16.98
2965.0,41.0,27.0,34.0,26.33
2500.0,47.0,21.0,41.0,25.51
150.0,17.0,13.0,13.0,7.94
2500.0,34.0,6.0,28.0,17.32
2650.0,30.0,30.0,20.0,24.65
750.0,69.0,11.0,11.0,23.35
180.0,17.0,11.0,14.0,15.1
350.0,19.0,4.0,11.0,14.1
150.0,30.0,10.0,20.0,15.1
550.0,51.0,4.0,41.0,16.11
1500.0,27.0,6.0,23.0,20.8
3407.0,28.0,22.0,23.0,44.29
1200.0,42.0,25.0,15.0,13.72
150.0,22.0,13.0,15.0,17.63
418.0,19.0,6.0,13.0,8.54
207.0,17.0,12.0,13.0,13.01
1550.0,44.0,14.0,34.0,13.71
150.0,43.0,13.0,14.0,7.78
300.0,16.0,16.0,16.0,16.79
950.0,45.0,15.0,35.0,18.0
850.0,31.0,11.0,11.0,18.21
1614.0,31.0,16.0,28.0,15.2
2850.0,40.0,5.0,44.0,21.05
700.0,26.0,8.0,22.0,15.1
588.0,19.0,14.0,17.0,13.21
450.0,36.0,18.0,18.0,16.49
